Hiders,Seekers,Cells,Obstacles,Max Rounds,Rounds Played,Game Length
2,2,49,8,32,20,Medium
2,2,49,8,21,12,Short
4,2,160,79,47,34,Medium
4,2,160,79,10,10,Long
4,2,160,79,12,6,Short
6,2,160,66,36,30,Long
2,2,25,0,47,20,Short
2,2,49,8,26,15,Short
1,2,49,9,36,36,Long
4,2,160,79,30,30,Long
2,2,25,0,13,9,Medium
1,1,49,0,36,17,Short
1,1,49,0,21,12,Short
6,2,160,66,45,32,Medium
4,2,160,79,21,18,Long
2,2,25,0,31,16,Short
4,2,160,79,25,23,Long
1,2,49,9,16,16,Long
1,2,49,9,47,47,Long
6,2,160,66,12,11,Long
1,1,49,0,35,27,Medium
4,2,160,79,39,37,Long
6,2,160,66,45,37,Long
2,2,49,8,33,18,Short
2,2,49,8,34,17,Short
2,2,25,0,27,13,Short
1,1,49,0,14,8,Medium
2,2,49,8,11,8,Medium
1,2,49,9,36,36,Long
2,2,25,0,19,9,Short
6,2,160,66,21,15,Medium
2,2,49,8,45,23,Short
6,2,160,66,40,40,Long
2,2,25,0,43,19,Short
6,2,160,66,47,37,Medium
1,2,49,9,13,13,Long
2,2,25,0,36,18,Short
1,2,49,9,17,17,Long
2,2,49,8,11,8,Medium
2,2,49,8,29,16,Short
4,2,160,79,17,15,Long
1,2,49,9,38,38,Long
2,2,49,8,46,23,Short
1,2,49,9,28,28,Long
4,2,160,79,15,12,Long
4,2,160,79,45,36,Long
2,2,25,0,39,17,Short
4,2,160,79,18,18,Long
2,2,25,0,46,21,Short
4,2,160,79,10,6,Medium
6,2,160,66,23,17,Medium
1,1,49,0,43,20,Short
2,2,49,8,22,13,Medium
2,2,25,0,25,12,Short
6,2,160,66,14,7,Short
1,1,49,0,40,18,Short
2,2,25,0,13,9,Medium
2,2,49,8,41,18,Short
2,2,25,0,46,21,Short
4,2,160,79,47,28,Medium
2,2,25,0,23,11,Short
2,2,25,0,13,7,Short
2,2,25,0,23,13,Short
6,2,160,66,20,15,Medium
4,2,160,79,11,10,Long
1,2,49,9,20,20,Long
6,2,160,66,27,22,Long
2,2,25,0,25,11,Short
1,1,49,0,48,21,Short
2,2,25,0,24,10,Short
6,2,160,66,28,28,Long
2,2,49,8,38,17,Short
