Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
2,2,49,8,0.9232052295250844,36,18,true
1,2,49,9,0.3419457612969723,20,20,false
6,2,160,66,0.4764938143151829,35,26,true
6,2,160,66,0.1845161882598504,33,28,true
1,1,49,0,0.11750086599238163,38,21,false
6,2,160,66,0.4089528031353916,32,23,false
1,1,49,0,0.3601858532204575,48,22,false
2,2,25,0,0.6374119473800665,38,16,false
6,2,160,66,0.08191686597505854,12,6,false
1,1,49,0,0.798123261445767,22,11,false
1,2,49,9,0.47795565842199905,37,37,false
1,2,49,9,0.4300686992912477,35,35,false
2,2,25,0,0.4565459039908667,21,11,false
1,1,49,0,0.2450031468841607,25,14,false
4,2,160,79,0.00839062166935789,37,27,false
1,2,49,9,0.6187457496715882,48,48,false
1,2,49,9,0.9494539267707558,10,10,false
2,2,49,8,0.5428810635680701,29,17,false
1,2,49,9,0.682800095598597,26,26,false
4,2,160,79,0.4695076579324182,14,11,false
1,1,49,0,0.9728617004526097,18,10,false
6,2,160,66,0.9085067687662554,23,23,true
1,2,49,9,0.47370409080731724,16,16,false
2,2,49,8,0.5517461822870254,15,10,false
2,2,49,8,0.6006739444148791,32,17,false
1,2,49,9,0.2693902477288902,23,23,false
6,2,160,66,0.3301730613804037,23,16,false
2,2,25,0,0.5596401761279507,14,7,false
1,1,49,0,0.5839301158975574,40,19,false
2,2,25,0,0.6378328274577136,32,18,false
1,2,49,9,0.6345890904188781,26,26,false
4,2,160,79,0.9518550536710497,28,18,false
1,2,49,9,0.6669233057416593,22,22,false
2,2,25,0,0.30153194158743124,39,18,false
2,2,49,8,0.5008629164184873,20,13,false
2,2,25,0,0.34721123194594494,49,22,false
1,1,49,0,0.06385646046236837,24,12,false
1,1,49,0,0.9185392899156797,40,19,false
4,2,160,79,0.2053387825598033,28,28,false
6,2,160,66,0.5912436874369099,30,14,true
1,1,49,0,0.7581378578413607,20,12,false
2,2,25,0,0.10162909276589194,30,14,false
4,2,160,79,0.9524122405026284,18,17,true
1,2,49,9,0.15022317196621782,26,26,false
1,2,49,9,0.5289907584783909,44,44,false
2,2,49,8,0.2856536252481905,48,23,false
4,2,160,79,0.1804006094944104,23,19,true
6,2,160,66,0.2246911931758051,32,29,true
6,2,160,66,0.19648546293924962,19,14,false
1,1,49,0,0.31021818858914796,35,16,false
6,2,160,66,0.8135488258818634,12,12,true
2,2,25,0,0.9666242456692873,22,11,false
1,2,49,9,0.9601741523223865,15,15,false
2,2,49,8,0.6491311791491163,14,9,false
4,2,160,79,0.7053489747667097,37,15,true
2,2,25,0,0.32074457907841836,41,18,false
2,2,49,8,0.30496171884950807,49,24,false
4,2,160,79,0.8591224528777751,48,42,true
4,2,160,79,0.36718371780431236,27,21,false
2,2,49,8,0.1776461473208324,49,23,false
1,1,49,0,0.576650842693772,20,20,false
4,2,160,79,0.730278505414595,16,14,true
1,1,49,0,0.2674803827312938,19,11,false
1,2,49,9,0.5617791872163941,12,12,false
4,2,160,79,0.8902922750884479,31,28,false
1,1,49,0,0.5788261822155089,39,18,false
6,2,160,66,0.518025843077861,44,38,false
4,2,160,79,0.299085276932869,15,15,false
2,2,49,8,0.869659387003389,39,21,false
2,2,49,8,0.19372684341703506,24,14,false
2,2,49,8,0.4910660321617728,10,7,false
1,2,49,9,0.7093528929132705,23,23,true
2,2,49,8,0.4637838953688672,42,21,true
1,1,49,0,0.6536629754102297,41,18,false
1,1,49,0,0.7477036608704065,43,19,false
4,2,160,79,0.711686113681212,17,13,false
2,2,25,0,0.29708137223737474,13,6,false
1,2,49,9,0.9446769619991398,49,49,true
4,2,160,79,0.9660185633620095,24,16,true
1,2,49,9,0.4751918029508161,20,20,false
1,2,49,9,0.7530386569865967,40,40,false
2,2,25,0,0.9193859362220278,18,10,false
4,2,160,79,0.1569459501033721,41,32,false
6,2,160,66,0.8441754158430669,48,36,true
6,2,160,66,0.806223544688264,50,37,true
4,2,160,79,0.8127809293289723,50,31,true
1,1,49,0,0.706836437982715,39,18,false
1,2,49,9,0.3693214339241566,37,37,false
2,2,25,0,0.6050094132338668,31,16,false
4,2,160,79,0.46572714486906674,17,14,true
6,2,160,66,0.7219228055946508,12,10,false
1,1,49,0,0.01135615329134776,19,11,false
2,2,49,8,0.056052293394721175,39,19,false
2,2,49,8,0.28021234246332505,48,23,false
2,2,49,8,0.03589928011323784,41,20,false
2,2,25,0,0.8050575445945144,49,20,false
1,2,49,9,0.6432848738838266,23,23,false
2,2,49,8,0.3346468681583744,26,14,false
1,1,49,0,0.5200272047852009,35,17,false
6,2,160,66,0.9378860568115619,29,17,true
4,2,160,79,0.966295281391904,40,40,true
2,2,25,0,0.9320937685274773,33,16,false
4,2,160,79,0.980728059322309,12,5,true
1,2,49,9,0.8112088439885098,16,16,false
2,2,25,0,0.16203709228560492,28,13,false
2,2,25,0,0.16595210456860876,33,14,false
1,1,49,0,0.6390555416203723,17,17,false
2,2,49,8,0.05536515060151681,39,26,false
4,2,160,79,0.9150783835204334,41,26,true
1,2,49,9,0.44300330391781173,48,48,false
1,1,49,0,0.7253858207580725,14,8,false
1,2,49,9,0.9263658260475007,32,32,false
2,2,25,0,0.45356583689079455,12,9,true
2,2,25,0,0.309136733191552,13,9,false
6,2,160,66,0.7159295357878788,14,7,false
4,2,160,79,0.6863559855198504,19,12,true
2,2,49,8,0.7517239021487808,49,24,false
6,2,160,66,0.19580400353788352,50,50,true
1,2,49,9,0.462050374070346,36,36,false
1,2,49,9,0.1333245212854366,16,16,false
2,2,25,0,0.5590416442709578,25,11,false
1,2,49,9,0.42702204275193,22,22,false
1,1,49,0,0.7118949409111431,36,17,false
4,2,160,79,0.2025121085953827,22,15,false
2,2,25,0,0.6863244145269153,11,8,false
6,2,160,66,0.3961489797191662,11,9,false
4,2,160,79,0.4826959748742923,31,20,true
1,2,49,9,0.8247968263342442,44,44,false
2,2,49,8,0.11104603948946268,37,19,false
1,2,49,9,0.24422039843958543,45,45,false
2,2,49,8,0.9139926804414458,25,14,true
2,2,25,0,0.5339920376844217,28,12,false
1,1,49,0,0.9911912233965677,12,7,false
6,2,160,66,0.18833632814411205,13,10,false
1,1,49,0,0.23908801063028584,44,19,false
4,2,160,79,0.4522291164423943,31,31,false
